R.Time (min),Intensity,MW_PEG,normalized RI
11.625,8,77702.12681663068,0.005553351844506148
11.63333,9,77355.92199576249,0.005751685838952796
11.64167,10,77011.39091001569,0.005950019833399445
11.65,11,76669.34489018226,0.0061483538278460925
11.65833,11,76329.35483243979,0.0061483538278460925
11.66667,11,75991.00162751379,0.0061483538278460925
11.675,10,75655.0821476999,0.005950019833399445
11.68333,10,75321.17507624107,0.005950019833399445
11.69167,10,74988.86887857481,0.005950019833399445
11.7,11,74658.94627291465,0.0061483538278460925
11.70833,10,74330.99356268044,0.005950019833399445
11.71667,10,74004.60662622377,0.005950019833399445
11.725,11,73680.55432486064,0.0061483538278460925
11.73333,11,73358.4304193336,0.0061483538278460925
11.74167,12,73037.83804301081,0.006346687822292741
11.75,11,72719.53249045463,0.0061483538278460925
11.75833,11,72403.1148208052,0.0061483538278460925
11.76667,11,72088.19526834432,0.0061483538278460925
11.775,12,71775.51584417016,0.006346687822292741
11.78333,12,71464.68475071555,0.006346687822292741
11.79167,12,71155.31917276839,0.006346687822292741
11.8,12,70848.14811457672,0.006346687822292741
11.80833,12,70542.78677048198,0.006346687822292741
11.81667,13,70238.85912896808,0.0065450218167393895
11.825,13,69937.08145754314,0.0065450218167393895
11.83333,12,69637.07579469602,0.006346687822292741
11.84167,12,69338.47278929906,0.006346687822292741
11.85,12,69041.9762358967,0.006346687822292741
11.85833,12,68747.21487289002,0.006346687822292741
11.86667,12,68453.82586964134,0.006346687822292741
11.875,13,68162.50080533956,0.0065450218167393895
11.88333,13,67872.87497749533,0.0065450218167393895
11.89167,12,67584.5919393834,0.006346687822292741
11.9,11,67298.33130643384,0.0061483538278460925
11.90833,12,67013.7347978086,0.006346687822292741
11.91667,11,66730.45221734975,0.0061483538278460925
11.925,12,66449.1514624709,0.006346687822292741
11.93333,11,66169.48053978145,0.0061483538278460925
11.94167,11,65891.09537349334,0.0061483538278460925
11.95,12,65614.65238304318,0.006346687822292741
11.95833,11,65339.805731453016,0.0061483538278460925
11.96667,12,65066.21733617468,0.006346687822292741
11.975,11,64794.53237314793,0.0061483538278460925
11.98333,10,64524.41103386088,0.005950019833399445
11.99167,10,64255.521104860025,0.005950019833399445
12.0,11,63988.49674765476,0.0061483538278460925
12.00833,10,63723.00405725893,0.005950019833399445
12.01667,10,63458.71656807682,0.005950019833399445
12.025,10,63196.25765097684,0.005950019833399445
12.03333,10,62935.29918248616,0.005950019833399445
12.04167,10,62675.52032646388,0.005950019833399445
12.05,11,62417.53388178392,0.0061483538278460925
12.05833,11,62161.01738732741,0.0061483538278460925
12.06667,11,61905.65552076464,0.0061483538278460925
12.075,11,61652.05072261128,0.0061483538278460925
