[Header]
Application Name	LabSolutions
Version	5.110
Data File Name	C:\LabSolutions\Data\June 2025\bp-2-41-a2__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_018.lcd
Output Date	6/24/2025
Output Time	12:04:18 PM

[Configuration]
Instrument Name	Aqueos SEC
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	UV-Vis	RID
# of Channels	2	1

[GPC Peak Table(Detector B)]
# of Peaks	5
Peak#	Start Time	Top Time	End Time	Start Volume	Top Volume	End Volume	Start M.W.	Top M.W.	End M.W.	Start Height	Top Height	End Height
1	0.225	0.285	0.333	0.225	0.285	0.333	1514624745248	1281248616810	1122769659887	-2978	1438	-2944
2	0.333	0.425	0.517	0.333	0.425	0.517	1122769659887	873258291117	681777461949	-2944	2203	-2887
3	0.517	0.626	0.725	0.517	0.626	0.725	681777461949	508975639821	391339895944	-2887	2186	-2822
4	0.725	0.945	2.750	0.725	0.945	2.750	391339895944	220625970062	3301049876	-2822	988	-2194
5	25.808	26.961	33.967	25.808	26.961	33.967	344	125	0	399	53831	2067

[Average Molecular Weight Table(Detector B)]
# of Peaks	5
Peak#	Mn	Mw	Mz	Mz1	Mv	Mw/Mn	Mv/Mn	Mz/Mw	I.Visc	%
Total	1	5114262615	772281821133	961879119331	0	9831725369.00576	0.00000	151.00551	1.00000	100.0000
1	1276066465560	1282170089324	1288311882647	1294468071826	0	1.00478	0.00000	1.00479	1.00000	0.0835
2	892738348289	904974184340	917070126145	928913288642	0	1.01371	0.00000	1.01337	1.00000	0.2113
3	517052612431	525181984322	533280868595	541273990480	0	1.01572	0.00000	1.01542	1.00000	0.2204
4	39613063508	122370772721	204622075750	252439306975	0	3.08915	0.00000	1.67215	1.00000	0.7958
5	1	72	127	153	0	140.13766	0.00000	1.76995	1.00000	98.6890

[RT/MW Range Table(Detector B)]
# of RT/MW Range	0

[GPC Calibration Curve Table(Detector B)]
# of Points	10
#	Time(min)	M.W.	Weight	Error	Active	Virtual	Data Name
1	11.217	99000	1	3.1258	ON	OFF	C:\LabSolutions\Data\June 2025\black__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_008.lcd
2	12.683	42700	1	-7.5102	ON	OFF	C:\LabSolutions\Data\June 2025\blue__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_009.lcd
3	15.533	18600	1	6.2694	ON	OFF	C:\LabSolutions\Data\June 2025\yellow__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_007.lcd
4	17.968	9890	1	1.8763	ON	OFF	C:\LabSolutions\Data\June 2025\1530__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_006.lcd
5	19.452	6530	1	-3.8945	ON	OFF	C:\LabSolutions\Data\June 2025\black__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_008.lcd
6	21.023	4100	1	-5.0456	ON	OFF	C:\LabSolutions\Data\June 2025\1030__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_005.lcd
7	22.858	2130	1	0.9680	ON	OFF	C:\LabSolutions\Data\June 2025\yellow__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_007.lcd
8	23.629	1530	1	5.9523	ON	OFF	C:\LabSolutions\Data\June 2025\1530__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_006.lcd
9	24.245	1030	1	1.4121	ON	OFF	C:\LabSolutions\Data\June 2025\1030__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_005.lcd
10	25.003	599	1	-4.1761	ON	OFF	C:\LabSolutions\Data\June 2025\blue__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_009.lcd
Calibration Curve	3rd Order
Comment	

[Molecular Weight Distribution Table(Detector B)]
# of Points	1282
R.Time	Volume(mL)	M.W.	M.W.(%)	Cumulative M.W.(%)
33.129	33.129	0	2.1728	0.3814
33.121	33.121	0	2.1988	0.3895
33.113	33.113	0	2.2247	0.3976
33.104	33.104	0	2.2505	0.4059
33.096	33.096	0	2.2765	0.4143
33.088	33.088	0	2.3027	0.4227
33.079	33.079	0	2.3289	0.4313
33.071	33.071	0	2.3549	0.4399
33.063	33.063	0	2.3809	0.4486
33.054	33.054	0	2.4074	0.4575
33.046	33.046	0	2.4340	0.4664
33.038	33.038	0	2.4610	0.4755
33.029	33.029	0	2.4880	0.4846
33.021	33.021	0	2.5150	0.4938
33.013	33.013	0	2.5415	0.5032
33.004	33.004	0	2.5680	0.5126
32.996	32.996	0	2.5945	0.5221
32.988	32.988	0	2.6218	0.5317
32.979	32.979	0	2.6494	0.5415
32.971	32.971	0	2.6768	0.5513
32.963	32.963	0	2.7042	0.5612
32.954	32.954	0	2.7320	0.5712
32.946	32.946	0	2.7597	0.5814
32.938	32.938	0	2.7875	0.5916
32.929	32.929	0	2.8157	0.6019
32.921	32.921	0	2.8440	0.6124
32.913	32.913	0	2.8724	0.6229
32.904	32.904	0	2.9009	0.6336
32.896	32.896	0	2.9293	0.6443
32.888	32.888	0	2.9582	0.6552
32.879	32.879	0	2.9867	0.6662
32.871	32.871	0	3.0151	0.6772
32.863	32.863	0	3.0433	0.6884
32.854	32.854	0	3.0718	0.6997
32.846	32.846	0	3.1004	0.7111
32.838	32.838	0	3.1291	0.7226
32.829	32.829	0	3.1579	0.7342
32.821	32.821	0	3.1864	0.7458
32.813	32.813	0	3.2152	0.7577
32.804	32.804	0	3.2441	0.7696
32.796	32.796	0	3.2730	0.7816
32.788	32.788	0	3.3023	0.7937
32.779	32.779	0	3.3315	0.8059
32.771	32.771	0	3.3611	0.8183
32.763	32.763	0	3.3908	0.8307
32.754	32.754	0	3.4205	0.8433
32.746	32.746	0	3.4505	0.8559
32.738	32.738	0	3.4803	0.8687
32.729	32.729	0	3.5104	0.8816
32.721	32.721	0	3.5407	0.8946
32.713	32.713	0	3.5706	0.9077
32.704	32.704	0	3.6004	0.9209
32.696	32.696	0	3.6307	0.9343
32.688	32.688	0	3.6611	0.9477
32.679	32.679	0	3.6914	0.9613
32.671	32.671	0	3.7220	0.9749
32.663	32.663	0	3.7529	0.9887
32.654	32.654	0	3.7837	1.0026
32.646	32.646	0	3.8147	1.0166
32.638	32.638	0	3.8456	1.0307
32.629	32.629	0	3.8762	1.0450
32.621	32.621	0	3.9072	1.0593
32.613	32.613	0	3.9387	1.0738
32.604	32.604	0	3.9700	1.0883
32.596	32.596	0	4.0013	1.1030
32.588	32.588	0	4.0328	1.1178
32.579	32.579	0	4.0643	1.1327
32.571	32.571	0	4.0956	1.1478
32.563	32.563	0	4.1270	1.1629
32.554	32.554	0	4.1581	1.1782
32.546	32.546	0	4.1896	1.1936
32.538	32.538	0	4.2215	1.2091
32.529	32.529	0	4.2540	1.2247
32.521	32.521	0	4.2863	1.2404
32.513	32.513	0	4.3178	1.2563
32.504	32.504	0	4.3495	1.2723
32.496	32.496	0	4.3813	1.2883
32.488	32.488	0	4.4135	1.3045
32.479	32.479	0	4.4462	1.3209
32.471	32.471	0	4.4787	1.3373
32.463	32.463	0	4.5110	1.3539
32.454	32.454	0	4.5437	1.3706
32.446	32.446	0	4.5763	1.3874
32.438	32.438	0	4.6085	1.4043
32.429	32.429	0	4.6405	1.4213
32.421	32.421	0	4.6724	1.4385
32.413	32.413	0	4.7050	1.4557
32.404	32.404	0	4.7376	1.4731
32.396	32.396	0	4.7706	1.4906
32.388	32.388	0	4.8039	1.5083
32.379	32.379	0	4.8372	1.5260
32.371	32.371	0	4.8705	1.5439
32.363	32.363	0	4.9037	1.5619
32.354	32.354	0	4.9366	1.5801
32.346	32.346	0	4.9699	1.5983
32.338	32.338	0	5.0033	1.6167
32.329	32.329	0	5.0365	1.6352
32.321	32.321	0	5.0699	1.6538
32.313	32.313	0	5.1032	1.6725
32.304	32.304	0	5.1367	1.6914
32.296	32.296	0	5.1704	1.7103
32.288	32.288	0	5.2039	1.7295
32.279	32.279	0	5.2374	1.7487
32.271	32.271	0	5.2708	1.7680
32.263	32.263	0	5.3044	1.7875
32.254	32.254	0	5.3383	1.8071
32.246	32.246	0	5.3724	1.8268
32.238	32.238	0	5.4064	1.8467
32.229	32.229	0	5.4406	1.8667
32.221	32.221	0	5.4748	1.8868
32.213	32.213	0	5.5091	1.9070
32.204	32.204	0	5.5431	1.9273
32.196	32.196	0	5.5773	1.9478
32.188	32.188	0	5.6116	1.9684
32.179	32.179	0	5.6460	1.9891
32.171	32.171	0	5.6803	2.0100
32.163	32.163	0	5.7146	2.0310
32.154	32.154	0	5.7493	2.0521
32.146	32.146	0	5.7841	2.0733
32.138	32.138	0	5.8186	2.0947
32.129	32.129	0	5.8533	2.1162
32.121	32.121	0	5.8883	2.1378
32.113	32.113	0	5.9235	2.1595
32.104	32.104	0	5.9589	2.1814
32.096	32.096	0	5.9945	2.2034
32.088	32.088	0	6.0301	2.2255
32.079	32.079	0	6.0657	2.2478
32.071	32.071	0	6.1011	2.2702
32.063	32.063	0	6.1365	2.2927
32.054	32.054	0	6.1722	2.3154
32.046	32.046	0	6.2080	2.3382
32.038	32.038	0	6.2439	2.3611
32.029	32.029	0	6.2801	2.3842
32.021	32.021	0	6.3163	2.4074
32.013	32.013	0	6.3525	2.4307
32.004	32.004	0	6.3888	2.4541
31.996	31.996	0	6.4249	2.4777
31.988	31.988	0	6.4615	2.5015
31.979	31.979	0	6.4982	2.5253
31.971	31.971	0	6.5354	2.5493
31.963	31.963	0	6.5727	2.5734
31.954	31.954	0	6.6101	2.5977
31.946	31.946	0	6.6474	2.6221
31.938	31.938	0	6.6849	2.6467
31.929	31.929	0	6.7221	2.6713
31.921	31.921	0	6.7595	2.6961
31.913	31.913	0	6.7972	2.7211
31.904	31.904	0	6.8350	2.7462
31.896	31.896	0	6.8731	2.7714
31.888	31.888	0	6.9113	2.7968
31.879	31.879	0	6.9496	2.8223
31.871	31.871	0	6.9884	2.8480
31.863	31.863	0	7.0274	2.8738
31.854	31.854	0	7.0665	2.8997
31.846	31.846	0	7.1060	2.9258
31.838	31.838	0	7.1457	2.9520
31.829	31.829	0	7.1853	2.9784
31.821	31.821	0	7.2248	3.0049
31.813	31.813	0	7.2646	3.0316
31.804	31.804	0	7.3048	3.0584
31.796	31.796	0	7.3455	3.0854
31.788	31.788	0	7.3862	3.1125
31.779	31.779	0	7.4264	3.1398
31.771	31.771	0	7.4669	3.1672
31.763	31.763	0	7.5078	3.1948
31.754	31.754	0	7.5491	3.2225
31.746	31.746	0	7.5909	3.2503
31.738	31.738	0	7.6324	3.2784
31.729	31.729	0	7.6736	3.3065
31.721	31.721	0	7.7153	3.3349
31.713	31.713	0	7.7570	3.3633
31.704	31.704	0	7.7988	3.3920
31.696	31.696	0	7.8411	3.4208
31.688	31.688	0	7.8838	3.4497
31.679	31.679	0	7.9267	3.4788
31.671	31.671	0	7.9696	3.5081
31.663	31.663	0	8.0125	3.5375
31.654	31.654	0	8.0556	3.5671
31.646	31.646	0	8.0989	3.5968
31.638	31.638	0	8.1423	3.6267
31.629	31.629	0	8.1860	3.6567
31.621	31.621	0	8.2299	3.6869
31.613	31.613	0	8.2740	3.7173
31.604	31.604	0	8.3181	3.7479
31.596	31.596	0	8.3620	3.7786
31.588	31.588	0	8.4059	3.8094
31.579	31.579	0	8.4497	3.8404
31.571	31.571	0	8.4938	3.8716
31.563	31.563	0	8.5387	3.9030
31.554	31.554	0	8.5841	3.9345
31.546	31.546	0	8.6296	3.9662
31.538	31.538	0	8.6751	3.9980
31.529	31.529	0	8.7207	4.0300
31.521	31.521	0	8.7664	4.0622
31.513	31.513	0	8.8124	4.0946
31.504	31.504	0	8.8586	4.1271
31.496	31.496	0	8.9048	4.1598
31.488	31.488	0	8.9510	4.1927
31.479	31.479	0	8.9972	4.2257
