[Header]
Application Name	LabSolutions
Version	5.110
Data File Name	C:\LabSolutions\Data\June 2025\bp-2-41-a1__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_011.lcd
Output Date	6/24/2025
Output Time	12:04:21 PM

[Configuration]
Instrument Name	Aqueos SEC
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	UV-Vis	RID
# of Channels	2	1

[GPC Peak Table(Detector B)]
# of Peaks	5
Peak#	Start Time	Top Time	End Time	Start Volume	Top Volume	End Volume	Start M.W.	Top M.W.	End M.W.	Start Height	Top Height	End Height
1	0.225	0.287	0.333	0.225	0.287	0.333	1514624745248	1276304968476	1122769659887	-2980	1437	-2948
2	0.333	0.427	0.525	0.333	0.427	0.525	1122769659887	869307515701	666645987291	-2948	2193	-2891
3	0.525	0.628	0.733	0.525	0.628	0.733	666645987291	506474409622	382844673368	-2891	2160	-2828
4	0.733	0.952	2.708	0.733	0.952	2.708	382844673368	216829244252	3602646096	-2828	962	-2238
5	25.825	27.004	33.967	25.825	27.004	33.967	339	120	0	450	55791	2312

[Average Molecular Weight Table(Detector B)]
# of Peaks	5
Peak#	Mn	Mw	Mz	Mz1	Mv	Mw/Mn	Mv/Mn	Mz/Mw	I.Visc	%
Total	0	4692555065	774240804505	960939837997	0	9648697999.13640	0.00000	164.99344	1.00000	100.0000
1	1273079913416	1278987675234	1284941041781	1290918021456	0	1.00464	0.00000	1.00465	1.00000	0.0772
2	887364588536	900266325731	912959525472	925331498887	0	1.01454	0.00000	1.01410	1.00000	0.1989
3	511670126781	519778521540	527759392716	535543255805	0	1.01585	0.00000	1.01535	1.00000	0.2024
4	41803686231	123062285828	202304685161	248429768180	0	2.94381	0.00000	1.64392	1.00000	0.7011
5	0	70	125	151	0	145.45048	0.00000	1.79275	1.00000	98.8205

[RT/MW Range Table(Detector B)]
# of RT/MW Range	0

[GPC Calibration Curve Table(Detector B)]
# of Points	10
#	Time(min)	M.W.	Weight	Error	Active	Virtual	Data Name
1	11.217	99000	1	3.1258	ON	OFF	C:\LabSolutions\Data\June 2025\black__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_008.lcd
2	12.683	42700	1	-7.5102	ON	OFF	C:\LabSolutions\Data\June 2025\blue__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_009.lcd
3	15.533	18600	1	6.2694	ON	OFF	C:\LabSolutions\Data\June 2025\yellow__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_007.lcd
4	17.968	9890	1	1.8763	ON	OFF	C:\LabSolutions\Data\June 2025\1530__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_006.lcd
5	19.452	6530	1	-3.8945	ON	OFF	C:\LabSolutions\Data\June 2025\black__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_008.lcd
6	21.023	4100	1	-5.0456	ON	OFF	C:\LabSolutions\Data\June 2025\1030__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_005.lcd
7	22.858	2130	1	0.9680	ON	OFF	C:\LabSolutions\Data\June 2025\yellow__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_007.lcd
8	23.629	1530	1	5.9523	ON	OFF	C:\LabSolutions\Data\June 2025\1530__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_006.lcd
9	24.245	1030	1	1.4121	ON	OFF	C:\LabSolutions\Data\June 2025\1030__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_005.lcd
10	25.003	599	1	-4.1761	ON	OFF	C:\LabSolutions\Data\June 2025\blue__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_009.lcd
Calibration Curve	3rd Order
Comment	

[Molecular Weight Distribution Table(Detector B)]
# of Points	1275
R.Time	Volume(mL)	M.W.	M.W.(%)	Cumulative M.W.(%)
33.129	33.129	0	2.4350	0.4158
33.121	33.121	0	2.4630	0.4245
33.113	33.113	0	2.4911	0.4333
33.104	33.104	0	2.5192	0.4422
33.096	33.096	0	2.5471	0.4513
33.088	33.088	0	2.5750	0.4604
33.079	33.079	0	2.6032	0.4696
33.071	33.071	0	2.6317	0.4789
33.063	33.063	0	2.6601	0.4884
33.054	33.054	0	2.6881	0.4979
33.046	33.046	0	2.7160	0.5075
33.038	33.038	0	2.7442	0.5172
33.029	33.029	0	2.7725	0.5271
33.021	33.021	0	2.8006	0.5370
33.013	33.013	0	2.8283	0.5470
33.004	33.004	0	2.8563	0.5571
32.996	32.996	0	2.8843	0.5674
32.988	32.988	0	2.9126	0.5777
32.979	32.979	0	2.9414	0.5881
32.971	32.971	0	2.9706	0.5986
32.963	32.963	0	2.9997	0.6093
32.954	32.954	0	3.0284	0.6200
32.946	32.946	0	3.0571	0.6308
32.938	32.938	0	3.0859	0.6418
32.929	32.929	0	3.1148	0.6528
32.921	32.921	0	3.1441	0.6639
32.913	32.913	0	3.1737	0.6752
32.904	32.904	0	3.2035	0.6865
32.896	32.896	0	3.2330	0.6980
32.888	32.888	0	3.2623	0.7096
32.879	32.879	0	3.2915	0.7212
32.871	32.871	0	3.3208	0.7330
32.863	32.863	0	3.3506	0.7449
32.854	32.854	0	3.3806	0.7568
32.846	32.846	0	3.4109	0.7689
32.838	32.838	0	3.4413	0.7811
32.829	32.829	0	3.4714	0.7934
32.821	32.821	0	3.5014	0.8058
32.813	32.813	0	3.5311	0.8183
32.804	32.804	0	3.5608	0.8310
32.796	32.796	0	3.5908	0.8437
32.788	32.788	0	3.6208	0.8565
32.779	32.779	0	3.6511	0.8695
32.771	32.771	0	3.6817	0.8825
32.763	32.763	0	3.7125	0.8957
32.754	32.754	0	3.7434	0.9089
32.746	32.746	0	3.7746	0.9223
32.738	32.738	0	3.8055	0.9358
32.729	32.729	0	3.8367	0.9494
32.721	32.721	0	3.8681	0.9631
32.713	32.713	0	3.8993	0.9769
32.704	32.704	0	3.9306	0.9908
32.696	32.696	0	3.9620	1.0049
32.688	32.688	0	3.9935	1.0190
32.679	32.679	0	4.0253	1.0333
32.671	32.671	0	4.0570	1.0477
32.663	32.663	0	4.0887	1.0621
32.654	32.654	0	4.1202	1.0767
32.646	32.646	0	4.1520	1.0915
32.638	32.638	0	4.1838	1.1063
32.629	32.629	0	4.2157	1.1212
32.621	32.621	0	4.2479	1.1363
32.613	32.613	0	4.2808	1.1514
32.604	32.604	0	4.3136	1.1667
32.596	32.596	0	4.3459	1.1821
32.588	32.588	0	4.3784	1.1976
32.579	32.579	0	4.4109	1.2133
32.571	32.571	0	4.4435	1.2290
32.563	32.563	0	4.4763	1.2449
32.554	32.554	0	4.5087	1.2609
32.546	32.546	0	4.5415	1.2770
32.538	32.538	0	4.5748	1.2932
32.529	32.529	0	4.6082	1.3095
32.521	32.521	0	4.6413	1.3259
32.513	32.513	0	4.6744	1.3425
32.504	32.504	0	4.7076	1.3592
32.496	32.496	0	4.7412	1.3760
32.488	32.488	0	4.7750	1.3929
32.479	32.479	0	4.8089	1.4100
32.471	32.471	0	4.8429	1.4271
32.463	32.463	0	4.8766	1.4444
32.454	32.454	0	4.9106	1.4618
32.446	32.446	0	4.9450	1.4793
32.438	32.438	0	4.9797	1.4970
32.429	32.429	0	5.0143	1.5147
32.421	32.421	0	5.0486	1.5326
32.413	32.413	0	5.0831	1.5506
32.404	32.404	0	5.1174	1.5688
32.396	32.396	0	5.1519	1.5870
32.388	32.388	0	5.1863	1.6054
32.379	32.379	0	5.2211	1.6239
32.371	32.371	0	5.2566	1.6425
32.363	32.363	0	5.2921	1.6613
32.354	32.354	0	5.3272	1.6802
32.346	32.346	0	5.3621	1.6992
32.338	32.338	0	5.3973	1.7183
32.329	32.329	0	5.4326	1.7375
32.321	32.321	0	5.4680	1.7569
32.313	32.313	0	5.5034	1.7764
32.304	32.304	0	5.5391	1.7961
32.296	32.296	0	5.5750	1.8158
32.288	32.288	0	5.6112	1.8357
32.279	32.279	0	5.6475	1.8557
32.271	32.271	0	5.6836	1.8758
32.263	32.263	0	5.7194	1.8961
32.254	32.254	0	5.7554	1.9165
32.246	32.246	0	5.7919	1.9370
32.238	32.238	0	5.8286	1.9577
32.229	32.229	0	5.8654	1.9785
32.221	32.221	0	5.9023	1.9994
32.213	32.213	0	5.9392	2.0204
32.204	32.204	0	5.9761	2.0416
32.196	32.196	0	6.0127	2.0629
32.188	32.188	0	6.0495	2.0844
32.179	32.179	0	6.0865	2.1059
32.171	32.171	0	6.1240	2.1276
32.163	32.163	0	6.1617	2.1495
32.154	32.154	0	6.1992	2.1714
32.146	32.146	0	6.2367	2.1935
32.138	32.138	0	6.2743	2.2158
32.129	32.129	0	6.3121	2.2381
32.121	32.121	0	6.3505	2.2606
32.113	32.113	0	6.3891	2.2833
32.104	32.104	0	6.4278	2.3060
32.096	32.096	0	6.4664	2.3290
32.088	32.088	0	6.5048	2.3520
32.079	32.079	0	6.5433	2.3752
32.071	32.071	0	6.5821	2.3985
32.063	32.063	0	6.6208	2.4220
32.054	32.054	0	6.6599	2.4456
32.046	32.046	0	6.6993	2.4693
32.038	32.038	0	6.7386	2.4932
32.029	32.029	0	6.7779	2.5172
32.021	32.021	0	6.8176	2.5414
32.013	32.013	0	6.8575	2.5657
32.004	32.004	0	6.8975	2.5901
31.996	31.996	0	6.9374	2.6147
31.988	31.988	0	6.9769	2.6394
31.979	31.979	0	7.0167	2.6643
31.971	31.971	0	7.0572	2.6893
31.963	31.963	0	7.0977	2.7145
31.954	31.954	0	7.1380	2.7398
31.946	31.946	0	7.1780	2.7652
31.938	31.938	0	7.2184	2.7908
31.929	31.929	0	7.2591	2.8165
31.921	31.921	0	7.2997	2.8424
